,contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
0,IBM250822C00150000,IBM,2025-08-22,150.0,call,0.0,91.33,90.75,21,91.9,17,0,0,2025-08-19,0.01976,1.0,0.0,-0.01779,0.0,0.01232
1,IBM250822P00150000,IBM,2025-08-22,150.0,put,0.0,0.01,0.0,0,0.22,37,0,1,2025-08-19,1.73679,-0.00097,9e-05,-0.02067,0.00072,-2e-05
2,IBM250822C00155000,IBM,2025-08-22,155.0,call,0.0,86.12,85.7,31,86.55,14,0,0,2025-08-19,0.01976,1.0,0.0,-0.01838,0.0,0.01274
3,IBM250822P00155000,IBM,2025-08-22,155.0,put,0.0,0.01,0.0,0,0.07,6,0,0,2025-08-19,1.61972,-0.001,0.0001,-0.0199,0.00074,-2e-05
4,IBM250822C00160000,IBM,2025-08-22,160.0,call,0.0,81.17,80.8,14,81.55,5,0,0,2025-08-19,0.01976,1.0,0.0,-0.01897,0.0,0.01315
5,IBM250822P00160000,IBM,2025-08-22,160.0,put,0.0,0.01,0.0,0,0.07,6,0,0,2025-08-19,1.50265,-0.00101,0.0001,-0.01865,0.00075,-2e-05
6,IBM250822C00165000,IBM,2025-08-22,165.0,call,0.0,76.17,75.8,19,76.55,5,0,0,2025-08-19,0.01976,1.0,0.0,-0.01957,0.0,0.01356
7,IBM250822P00165000,IBM,2025-08-22,165.0,put,0.0,0.01,0.0,0,0.07,6,0,0,2025-08-19,1.40509,-0.00115,0.00012,-0.0195,0.00083,-2e-05
8,IBM250822C00170000,IBM,2025-08-22,170.0,call,0.0,71.6,70.75,27,72.45,58,0,0,2025-08-19,1.89288,0.98335,0.001,-0.30553,0.00906,0.01362
9,IBM250822P00170000,IBM,2025-08-22,170.0,put,0.0,0.01,0.0,0,0.08,9,0,0,2025-08-19,1.30753,-0.00128,0.00015,-0.02008,0.00092,-3e-05
10,IBM250822C00175000,IBM,2025-08-22,175.0,call,0.0,66.58,65.75,25,67.4,52,0,0,2025-08-19,1.73679,0.98303,0.00111,-0.28681,0.00921,0.01402
11,IBM250822P00175000,IBM,2025-08-22,175.0,put,0.0,0.01,0.0,0,0.43,188,0,0,2025-08-19,1.20997,-0.00141,0.00017,-0.02035,0.00101,-3e-05
12,IBM250822C00180000,IBM,2025-08-22,180.0,call,0.0,61.58,60.75,29,62.4,54,0,0,2025-08-19,1.60021,0.9819,0.00127,-0.28029,0.00973,0.01441
13,IBM250822P00180000,IBM,2025-08-22,180.0,put,0.03,0.01,0.0,0,0.29,194,1,2,2025-08-19,1.0929,-0.0013,0.00018,-0.01708,0.00094,-3e-05
14,IBM250822C00185000,IBM,2025-08-22,185.0,call,0.0,56.42,55.75,26,57.1,40,0,0,2025-08-19,1.24899,0.99192,0.00081,-0.12236,0.00484,0.01503
15,IBM250822P00185000,IBM,2025-08-22,185.0,put,0.12,0.01,0.0,0,0.18,207,1,0,2025-08-19,1.01485,-0.00166,0.00024,-0.01974,0.00117,-3e-05
16,IBM250822C00190000,IBM,2025-08-22,190.0,call,0.0,51.55,50.8,27,52.3,51,0,0,2025-08-19,1.30753,0.98114,0.00161,-0.24153,0.01008,0.01522
17,IBM250822P00190000,IBM,2025-08-22,190.0,put,0.0,0.01,0.0,0,1.27,270,0,0,2025-08-19,0.91729,-0.00176,0.00028,-0.01879,0.00123,-4e-05
18,IBM250822C00195000,IBM,2025-08-22,195.0,call,0.0,46.52,45.65,38,47.4,50,0,0,2025-08-19,1.15144,0.98194,0.00176,-0.20891,0.00971,0.01565
19,IBM250822P00195000,IBM,2025-08-22,195.0,put,0.0,0.01,0.0,0,0.64,72,0,0,2025-08-19,0.81974,-0.00182,0.00032,-0.01735,0.00127,-4e-05
