contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM250815C00140000,IBM,2025-08-15,140.0,call,112.05,99.7,99.3,6,100.1,6,0,3,2025-08-15,0.01976,1.0,0.0,-0.01661,0.0,0.00384
IBM250815P00140000,IBM,2025-08-15,140.0,put,0.03,0.01,0.0,0,0.03,10,1,209,2025-08-15,3.35626,-0.00082,7e-05,-0.05881,0.00035,-1e-05
IBM250815C00145000,IBM,2025-08-15,145.0,call,0.0,94.7,94.3,6,95.1,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.0172,0.0,0.00397
IBM250815P00145000,IBM,2025-08-15,145.0,put,0.15,0.01,0.0,0,2.02,9,1,1,2025-08-15,3.16114,-0.0009,8e-05,-0.06051,0.00038,-1e-05
IBM250815C00150000,IBM,2025-08-15,150.0,call,102.25,89.7,89.35,6,90.05,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.01779,0.0,0.00411
IBM250815P00150000,IBM,2025-08-15,150.0,put,0.0,0.01,0.0,0,0.15,6,0,2,2025-08-15,2.94651,-0.00091,8e-05,-0.05711,0.00039,-1e-05
IBM250815C00155000,IBM,2025-08-15,155.0,call,0.0,84.72,84.25,6,85.2,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.01839,0.0,0.00425
IBM250815P00155000,IBM,2025-08-15,155.0,put,0.1,0.01,0.0,0,1.63,3,1,1,2025-08-15,2.77091,-0.00104,0.0001,-0.06042,0.00044,-1e-05
IBM250815C00160000,IBM,2025-08-15,160.0,call,0.0,79.75,79.25,6,80.25,6,0,0,2025-08-15,2.5953,0.99884,0.00012,-0.08193,0.00049,0.00438
IBM250815P00160000,IBM,2025-08-15,160.0,put,0.2,0.01,0.0,0,0.87,1,1,6,2025-08-15,2.57579,-0.00108,0.00011,-0.05841,0.00045,-1e-05
IBM250815C00165000,IBM,2025-08-15,165.0,call,0.0,74.78,74.25,6,75.3,21,0,0,2025-08-15,2.73188,0.99637,0.00032,-0.20567,0.00136,0.0045
IBM250815P00165000,IBM,2025-08-15,165.0,put,0.0,0.01,0.0,0,2.02,7,0,1,2025-08-15,2.40019,-0.00119,0.00013,-0.05966,0.0005,-1e-05
IBM250815C00170000,IBM,2025-08-15,170.0,call,70.25,69.5,68.15,75,70.85,54,23,23,2025-08-15,0.01976,1.0,0.0,-0.02016,0.0,0.00466
IBM250815P00170000,IBM,2025-08-15,170.0,put,0.0,0.01,0.0,0,0.25,1,0,76,2025-08-15,2.20507,-0.0012,0.00014,-0.0549,0.0005,-1e-05
IBM250815C00175000,IBM,2025-08-15,175.0,call,76.6,64.67,64.25,6,65.1,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.02076,0.0,0.00479
IBM250815P00175000,IBM,2025-08-15,175.0,put,0.0,0.01,0.0,0,1.03,6,0,31,2025-08-15,2.04897,-0.0014,0.00018,-0.05885,0.00057,-1e-05
IBM250815C00180000,IBM,2025-08-15,180.0,call,0.0,59.73,59.25,6,60.2,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.02135,0.0,0.00493
IBM250815P00180000,IBM,2025-08-15,180.0,put,0.0,0.01,0.0,0,0.01,1,0,280,2025-08-15,1.87337,-0.00148,0.0002,-0.05656,0.0006,-1e-05
IBM250815C00185000,IBM,2025-08-15,185.0,call,100.1,54.3,53.5,58,55.1,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.02194,0.0,0.00507
IBM250815P00185000,IBM,2025-08-15,185.0,put,0.0,0.01,0.0,0,2.02,25,0,22,2025-08-15,1.69776,-0.00153,0.00023,-0.05288,0.00062,-1e-05
IBM250815C00190000,IBM,2025-08-15,190.0,call,62.0,49.75,49.25,6,50.25,6,0,0,2025-08-15,1.50265,0.99863,0.00024,-0.06475,0.00056,0.0052
IBM250815P00190000,IBM,2025-08-15,190.0,put,0.0,0.01,0.0,0,0.03,1,0,25,2025-08-15,1.54167,-0.00174,0.00029,-0.05389,0.0007,-1e-05
IBM250815C00195000,IBM,2025-08-15,195.0,call,54.5,44.67,44.25,6,45.1,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.02313,0.0,0.00534
IBM250815P00195000,IBM,2025-08-15,195.0,put,0.0,0.01,0.0,0,0.4,10,0,20,2025-08-15,1.38558,-0.00196,0.00036,-0.05401,0.00078,-1e-05
IBM250815C00200000,IBM,2025-08-15,200.0,call,43.2,39.8,38.7,49,40.9,57,0,3,2025-08-15,1.48313,0.9912,0.00128,-0.24525,0.00299,0.00542
IBM250815P00200000,IBM,2025-08-15,200.0,put,0.01,0.01,0.0,0,0.01,6,3,283,2025-08-15,1.22948,-0.00219,0.00045,-0.0531,0.00086,-1e-05
IBM250815C00205000,IBM,2025-08-15,205.0,call,47.0,34.75,34.35,6,35.15,6,0,0,2025-08-15,1.01485,0.99853,0.00038,-0.05475,0.0006,0.00561
IBM250815P00205000,IBM,2025-08-15,205.0,put,0.0,0.01,0.0,0,2.01,7,0,114,2025-08-15,1.07339,-0.00244,0.00056,-0.05103,0.00095,-2e-05
IBM250815C00207500,IBM,2025-08-15,207.5,call,0.0,32.25,31.75,6,32.75,9,0,0,2025-08-15,0.93681,0.99851,0.00041,-0.05301,0.00061,0.00567
IBM250815P00207500,IBM,2025-08-15,207.5,put,0.0,0.01,0.0,0,2.02,10,0,0,2025-08-15,0.99534,-0.00256,0.00064,-0.04951,0.001,-2e-05
