,name,expiry,strikePrice,optionType,delta,gamma,theta,vega,impliedVolatility,tradeVolume,dte
0,NIFTY,21AUG2025,25000.000000,CE,0.437100,0.000700,-39.962300,8.887700,13.42,4201164.00,2
1,NIFTY,21AUG2025,24900.000000,CE,0.507400,0.000700,-40.889800,8.998300,14.03,2257770.00,2
2,NIFTY,21AUG2025,24950.000000,CE,0.472100,0.000700,-40.570300,8.977800,13.68,2223802.00,2
3,NIFTY,21AUG2025,25200.000000,CE,0.305000,0.000600,-34.977000,7.902500,13.18,2127386.00,2
4,NIFTY,21AUG2025,25100.000000,CE,0.369000,0.000700,-37.935700,8.510100,13.18,2086449.00,2
5,NIFTY,21AUG2025,25050.000000,CE,0.402600,0.000700,-39.077900,8.730400,13.26,1494886.00,2
6,NIFTY,21AUG2025,25500.000000,CE,0.151000,0.000400,-23.032000,5.283500,14.34,1354995.00,2
7,NIFTY,21AUG2025,25300.000000,CE,0.246800,0.000600,-31.323500,7.119200,13.33,1352074.00,2
8,NIFTY,21AUG2025,25400.000000,CE,0.195200,0.000500,-27.249700,6.224500,13.71,1181873.00,2
9,NIFTY,21AUG2025,25150.000000,CE,0.336400,0.000600,-36.559300,8.232000,13.13,1027727.00,2
10,NIFTY,21AUG2025,25250.000000,CE,0.275100,0.000600,-33.220400,7.529000,13.22,841860.00,2
11,NIFTY,21AUG2025,25350.000000,CE,0.220400,0.000500,-29.342900,6.686400,13.45,777909.00,2
12,NIFTY,21AUG2025,26000.000000,CE,0.029400,0.000100,-6.497300,1.511600,19.73,771664.00,2
13,NIFTY,21AUG2025,25600.000000,CE,0.114100,0.000300,-18.917600,4.355500,15.12,699740.00,2
14,NIFTY,21AUG2025,25450.000000,CE,0.172400,0.000500,-25.164500,5.760800,13.96,631494.00,2
15,NIFTY,21AUG2025,25700.000000,CE,0.084300,0.000300,-15.103200,3.488300,15.88,622283.00,2
16,NIFTY,21AUG2025,24800.000000,CE,0.577700,0.000700,-40.647800,8.828700,15.01,595595.00,2
17,NIFTY,21AUG2025,24850.000000,CE,0.542700,0.000700,-40.915300,8.948400,14.55,528533.00,2
18,NIFTY,21AUG2025,25800.000000,CE,0.060900,0.000200,-11.739700,2.718900,16.97,499282.00,2
19,NIFTY,21AUG2025,25550.000000,CE,0.131300,0.000400,-20.907200,4.805300,14.64,448918.00,2
20,NIFTY,21AUG2025,25900.000000,CE,0.042600,0.000200,-8.805600,2.044400,18.29,296239.00,2
21,NIFTY,21AUG2025,25650.000000,CE,0.098100,0.000300,-16.925000,3.903200,15.41,291961.00,2
22,NIFTY,21AUG2025,26200.000000,CE,0.013000,0.000100,-3.235600,0.755400,22.03,283742.00,2
23,NIFTY,21AUG2025,25750.000000,CE,0.071800,0.000200,-13.353000,3.088400,16.58,236356.00,2
24,NIFTY,21AUG2025,24700.000000,CE,0.645900,0.000700,-39.273100,8.391100,16.52,227426.00,2
25,NIFTY,21AUG2025,26100.000000,CE,0.019600,0.000100,-4.598700,1.071900,21.05,203446.00,2
26,NIFTY,21AUG2025,26500.000000,CE,0.003200,0.000000,-0.926200,0.217100,25.7,180021.00,2
27,NIFTY,21AUG2025,25850.000000,CE,0.051000,0.000200,-10.192200,2.363500,17.65,166033.00,2
28,NIFTY,21AUG2025,26300.000000,CE,0.008200,0.000000,-2.162200,0.505600,23.2,124758.00,2
29,NIFTY,21AUG2025,24750.000000,CE,0.611500,0.000700,-40.106900,8.645400,15.79,98059.00,2
30,NIFTY,21AUG2025,24600.000000,CE,0.710000,0.000600,-36.906500,7.722700,18.81,94058.00,2
31,NIFTY,21AUG2025,25950.000000,CE,0.035400,0.000100,-7.569900,1.759400,19.07,93749.00,2
32,NIFTY,21AUG2025,26950.000000,CE,0.000300,0.000000,-0.093000,0.021900,31.33,78453.00,2
33,NIFTY,21AUG2025,26400.000000,CE,0.005100,0.000000,-1.424700,0.333600,24.45,75495.00,2
34,NIFTY,21AUG2025,24650.000000,CE,0.678400,0.000600,-38.208000,8.084600,17.62,72737.00,2
35,NIFTY,21AUG2025,26050.000000,CE,0.024100,0.000100,-5.493100,1.279200,20.27,60273.00,2
36,NIFTY,21AUG2025,26900.000000,CE,0.000400,0.000000,-0.124100,0.029200,30.63,55520.00,2
37,NIFTY,21AUG2025,24500.000000,CE,0.766800,0.000500,-33.855400,6.902400,21.23,49919.00,2
38,NIFTY,21AUG2025,26250.000000,CE,0.010400,0.000000,-2.670600,0.624000,22.73,42675.00,2
39,NIFTY,21AUG2025,26450.000000,CE,0.004200,0.000000,-1.179900,0.276400,25.08,39608.00,2
40,NIFTY,21AUG2025,26150.000000,CE,0.016000,0.000100,-3.862900,0.901200,21.45,36776.00,2
41,NIFTY,21AUG2025,26850.000000,CE,0.000500,0.000000,-0.160500,0.037800,30.0,25422.00,2
42,NIFTY,21AUG2025,26600.000000,CE,0.001900,0.000000,-0.580100,0.136100,27.03,22633.00,2
43,NIFTY,21AUG2025,26800.000000,CE,0.000600,0.000000,-0.210900,0.049600,29.38,18199.00,2
44,NIFTY,21AUG2025,26700.000000,CE,0.001100,0.000000,-0.350600,0.082400,28.05,16731.00,2
45,NIFTY,21AUG2025,26650.000000,CE,0.001500,0.000000,-0.460900,0.108200,27.5,16191.00,2
46,NIFTY,21AUG2025,26750.000000,CE,0.000800,0.000000,-0.273900,0.064400,28.67,14606.00,2
47,NIFTY,21AUG2025,26350.000000,CE,0.006600,0.000000,-1.793800,0.419700,23.91,14406.00,2
48,NIFTY,21AUG2025,26550.000000,CE,0.002500,0.000000,-0.740900,0.173800,26.56,13009.00,2
49,NIFTY,21AUG2025,24550.000000,CE,0.739700,0.000600,-35.428900,7.321900,19.87,11365.00,2
50,NIFTY,21AUG2025,24400.000000,CE,0.818700,0.000500,-30.199600,5.945100,23.56,8507.00,2
51,NIFTY,21AUG2025,24300.000000,CE,0.864700,0.000400,-26.161300,4.907000,24.59,4277.00,2
52,NIFTY,21AUG2025,24450.000000,CE,0.797000,0.000500,-31.845900,6.374000,21.37,4096.00,2
53,NIFTY,21AUG2025,24000.000000,CE,0.949700,0.000200,-15.957200,2.336000,33.9,3993.00,2
54,NIFTY,21AUG2025,24200.000000,CE,0.900000,0.000300,-22.436200,3.960300,27.87,2236.00,2
55,NIFTY,21AUG2025,24350.000000,CE,0.842300,0.000400,-28.229300,5.436500,24.61,1079.00,2
56,NIFTY,21AUG2025,24100.000000,CE,0.928600,0.000200,-18.921900,3.076200,29.84,735.00,2
57,NIFTY,21AUG2025,24250.000000,CE,0.879100,0.000400,-24.688400,4.536800,28.42,704.00,2
58,NIFTY,21AUG2025,23000.000000,CE,0.999800,0.000000,-6.370900,0.018300,59.46,372.00,2
59,NIFTY,21AUG2025,24150.000000,CE,0.912300,0.000300,-20.967600,3.593200,30.58,345.00,2
60,NIFTY,21AUG2025,24050.000000,CE,0.937600,0.000200,-17.692700,2.771100,33.57,229.00,2
61,NIFTY,21AUG2025,23950.000000,CE,0.962800,0.000100,-13.909500,1.843500,28.41,193.00,2
62,NIFTY,21AUG2025,23900.000000,CE,0.965200,0.000100,-13.531200,1.736600,38.44,183.00,2
63,NIFTY,21AUG2025,23500.000000,CE,0.994900,0.000000,-7.779400,0.331600,45.86,183.00,2
64,NIFTY,21AUG2025,23850.000000,CE,0.975400,0.000100,-11.764100,1.309300,30.92,114.00,2
65,NIFTY,21AUG2025,23800.000000,CE,0.980300,0.000100,-10.855600,1.082800,34.0,103.00,2
66,NIFTY,21AUG2025,23700.000000,CE,0.985100,0.000100,-9.919600,0.851200,39.49,51.00,2
67,NIFTY,21AUG2025,23650.000000,CE,0.988700,0.000100,-9.117000,0.683500,32.22,23.00,2
68,NIFTY,21AUG2025,23600.000000,CE,0.991200,0.000000,-8.599500,0.552700,33.27,21.00,2
69,NIFTY,21AUG2025,23400.000000,CE,0.997600,0.000000,-7.064300,0.171500,41.02,19.00,2
70,NIFTY,21AUG2025,23750.000000,CE,0.979900,0.000100,-10.834100,1.120800,32.93,18.00,2
71,NIFTY,21AUG2025,23450.000000,CE,0.997200,0.000000,-7.193900,0.204800,33.3,13.00,2
